{z ii1 b ax n}.	{z ii1} {b ax n}.	0	0	0
{gs e1 s} {gs i1 s t} {z ii1 b ax n} {gs uu1 xr}.	{gs e1 s} {gs i1 s t} {z ii1} {b ax n} {gs uu1 xr}.	0	0	0
